# -*- tcl -*- bench/csv
1
120,Geo2Point* 1x 6 -10 10,1.633
121,Geo2Point* 1x 6 0 -10,1.495
122,Geo2Point* 1x 6 0 0,1.493
123,Geo2Point* 1x 6 0 10,1.838
124,Geo2Point* 1x 6 10 -10,1.641
125,Geo2Point* 1x 6 10 0,1.54
126,Geo2Point* 1x 6 10 10,1.309
127,Geo2Point* 1x 7 -10 -10,1.546
128,Geo2Point* 1x 7 -10 0,1.424
129,Geo2Point* 1x 7 -10 10,1.371
130,Geo2Point* 1x 7 0 -10,1.441
131,Geo2Point* 1x 7 0 0,1.46
132,Geo2Point* 1x 7 0 10,1.308
133,Geo2Point* 1x 7 10 -10,1.543
134,Geo2Point* 1x 7 10 0,1.491
135,Geo2Point* 1x 7 10 10,1.647
136,Geo2Point* 1x 8 -10 -10,1.341
137,Geo2Point* 1x 8 -10 0,1.359
138,Geo2Point* 1x 8 -10 10,1.342
139,Geo2Point* 1x 8 0 -10,1.325
140,Geo2Point* 1x 8 0 0,1.319
141,Geo2Point* 1x 8 0 10,1.348
142,Geo2Point* 1x 8 10 -10,1.338
143,Geo2Point* 1x 8 10 0,1.548
144,Geo2Point* 1x 8 10 10,1.338
145,Geo2Point* 1x 9 -10 -10,1.356
146,Geo2Point* 1x 9 -10 0,1.595
147,Geo2Point* 1x 9 -10 10,1.876
148,Geo2Point* 1x 9 0 -10,1.367
149,Geo2Point* 1x 9 0 0,1.313
150,Geo2Point* 1x 9 0 10,1.518
151,Geo2Point* 1x 9 10 -10,1.326
152,Geo2Point* 1x 9 10 0,1.334
153,Geo2Point* 1x 9 10 10,1.811
154,Geo2Point* 1x 10 -10 -10,1.853
155,Geo2Point* 1x 10 -10 0,1.311
156,Geo2Point* 1x 10 -10 10,1.34
157,Geo2Point* 1x 10 0 -10,1.322
158,Geo2Point* 1x 10 0 0,1.516
159,Geo2Point* 1x 10 0 10,1.503
160,Geo2Point* 1x 10 10 -10,1.563
161,Geo2Point* 1x 10 10 0,1.711
162,Geo2Point* 1x 10 10 10,1.522
163,Geo2Point* 1x 11 -10 -10,1.31
164,Geo2Point* 1x 11 -10 0,1.322
165,Geo2Point* 1x 11 -10 10,1.483
166,Geo2Point* 1x 11 0 -10,1.887
167,Geo2Point* 1x 11 0 0,1.317
168,Geo2Point* 1x 11 0 10,1.69
169,Geo2Point* 1x 11 10 -10,1.323
170,Geo2Point* 1x 11 10 0,1.916
171,Geo2Point* 1x 11 10 10,1.741
172,Geo2Point* 1x 12 -10 -10,1.555
173,Geo2Point* 1x 12 -10 0,1.706
174,Geo2Point* 1x 12 -10 10,1.687
175,Geo2Point* 1x 12 0 -10,1.317
176,Geo2Point* 1x 12 0 0,1.335
177,Geo2Point* 1x 12 0 10,1.348
178,Geo2Point* 1x 12 10 -10,1.531
179,Geo2Point* 1x 12 10 0,1.775
180,Geo2Point* 1x 12 10 10,1.536
181,Geo2Point* 1x 13 -10 -10,1.349
182,Geo2Point* 1x 13 -10 0,1.36
183,Geo2Point* 1x 13 -10 10,1.354
184,Geo2Point* 1x 13 0 -10,1.322
185,Geo2Point* 1x 13 0 0,1.335
186,Geo2Point* 1x 13 0 10,1.303
187,Geo2Point* 1x 13 10 -10,1.79
188,Geo2Point* 1x 13 10 0,1.326
189,Geo2Point* 1x 13 10 10,1.333
190,Geo2Point* 1x 14 -10 -10,1.342
191,Geo2Point* 1x 14 -10 0,1.551
192,Geo2Point* 1x 14 -10 10,1.381
193,Geo2Point* 1x 14 0 -10,1.315
194,Geo2Point* 1x 14 0 0,1.312
195,Geo2Point* 1x 14 0 10,1.341
196,Geo2Point* 1x 14 10 -10,1.622
197,Geo2Point* 1x 14 10 0,1.544
198,Geo2Point* 1x 14 10 10,1.342
199,Geo2Point* 1x 15 -10 -10,1.324
200,Geo2Point* 1x 15 -10 0,1.549
201,Geo2Point* 1x 15 -10 10,1.327
202,Geo2Point* 1x 15 0 -10,1.326
203,Geo2Point* 1x 15 0 0,1.5
204,Geo2Point* 1x 15 0 10,1.291
205,Geo2Point* 1x 15 10 -10,1.338
206,Geo2Point* 1x 15 10 0,1.37
207,Geo2Point* 1x 15 10 10,1.664
208,Geo2Point* 1x 16 -10 -10,1.784
209,Geo2Point* 1x 16 -10 0,1.629
210,Geo2Point* 1x 16 -10 10,1.526
211,Geo2Point* 1x 16 0 -10,1.311
212,Geo2Point* 1x 16 0 0,1.313
213,Geo2Point* 1x 16 0 10,1.332
214,Geo2Point* 1x 16 10 -10,1.357
215,Geo2Point* 1x 16 10 0,1.34
216,Geo2Point* 1x 16 10 10,1.527
217,Geo2Point* 1x 17 -10 -10,1.558
218,Geo2Point* 1x 17 -10 0,1.547
219,Geo2Point* 1x 17 -10 10,1.552
220,Geo2Point* 1x 17 0 -10,1.306
221,Geo2Point* 1x 17 0 0,1.387
222,Geo2Point* 1x 17 0 10,1.641
223,Geo2Point* 1x 17 10 -10,1.345
224,Geo2Point* 1x 17 10 0,1.521
225,Geo2Point* 1x 17 10 10,1.415
226,Geo2Point* 1x 18 -10 -10,1.322
227,Geo2Point* 1x 18 -10 0,1.433
228,Geo2Point* 1x 18 -10 10,1.322
229,Geo2Point* 1x 18 0 -10,1.499
230,Geo2Point* 1x 18 0 0,1.495
231,Geo2Point* 1x 18 0 10,1.319
232,Geo2Point* 1x 18 10 -10,1.552
233,Geo2Point* 1x 18 10 0,1.586
234,Geo2Point* 1x 18 10 10,1.344
235,Geo2Point* 2x 0 -10 -10,1.563
236,Geo2Point* 2x 0 -10 0,1.538
237,Geo2Point* 2x 0 -10 10,1.528
238,Geo2Point* 2x 0 0 -10,1.743
239,Geo2Point* 2x 0 0 0,1.489
240,Geo2Point* 2x 0 0 10,2.338
241,Geo2Point* 2x 0 10 -10,1.538
242,Geo2Point* 2x 0 10 0,1.546
243,Geo2Point* 2x 0 10 10,1.54
244,Geo2Point* 2x 1 -10 -10,2.672
245,Geo2Point* 2x 1 -10 0,3.263
246,Geo2Point* 2x 1 -10 10,2.619
247,Geo2Point* 2x 1 0 -10,2.524
248,Geo2Point* 2x 1 0 0,1.793
249,Geo2Point* 2x 1 0 10,1.793
250,Geo2Point* 2x 1 10 -10,1.762
251,Geo2Point* 2x 1 10 0,1.556
252,Geo2Point* 2x 1 10 10,1.591
253,Geo2Point* 2x 2 -10 -10,1.61
254,Geo2Point* 2x 2 -10 0,1.576
255,Geo2Point* 2x 2 -10 10,1.551
256,Geo2Point* 2x 2 0 -10,1.542
257,Geo2Point* 2x 2 0 0,1.505
258,Geo2Point* 2x 2 0 10,1.532
259,Geo2Point* 2x 2 10 -10,1.566
260,Geo2Point* 2x 2 10 0,1.547
261,Geo2Point* 2x 2 10 10,1.562
262,Geo2Point* 2x 3 -10 -10,1.795
263,Geo2Point* 2x 3 -10 0,1.794
264,Geo2Point* 2x 3 -10 10,2.145
265,Geo2Point* 2x 3 0 -10,1.533
266,Geo2Point* 2x 3 0 0,1.554
267,Geo2Point* 2x 3 0 10,1.727
268,Geo2Point* 2x 3 10 -10,1.621
269,Geo2Point* 2x 3 10 0,1.881
270,Geo2Point* 2x 3 10 10,1.561
271,Geo2Point* 2x 4 -10 -10,1.777
272,Geo2Point* 2x 4 -10 0,1.533
273,Geo2Point* 2x 4 -10 10,1.79
274,Geo2Point* 2x 4 0 -10,1.494
275,Geo2Point* 2x 4 0 0,1.629
276,Geo2Point* 2x 4 0 10,1.501
277,Geo2Point* 2x 4 10 -10,1.78
278,Geo2Point* 2x 4 10 0,1.821
279,Geo2Point* 2x 4 10 10,1.55
280,Geo2Point* 2x 5 -10 -10,1.554
281,Geo2Point* 2x 5 -10 0,1.538
282,Geo2Point* 2x 5 -10 10,1.565
283,Geo2Point* 2x 5 0 -10,1.525
284,Geo2Point* 2x 5 0 0,1.743
285,Geo2Point* 2x 5 0 10,1.719
286,Geo2Point* 2x 5 10 -10,1.789
287,Geo2Point* 2x 5 10 0,1.68
288,Geo2Point* 2x 5 10 10,1.829
289,Geo2Point* 2x 6 -10 -10,1.58
290,Geo2Point* 2x 6 -10 0,1.819
291,Geo2Point* 2x 6 -10 10,1.746
292,Geo2Point* 2x 6 0 -10,1.88
293,Geo2Point* 2x 6 0 0,1.75
294,Geo2Point* 2x 6 0 10,2.182
295,Geo2Point* 2x 6 10 -10,1.845
296,Geo2Point* 2x 6 10 0,1.591
297,Geo2Point* 2x 6 10 10,1.571
298,Geo2Point* 2x 7 -10 -10,1.694
299,Geo2Point* 2x 7 -10 0,1.556
300,Geo2Point* 2x 7 -10 10,1.556
301,Geo2Point* 2x 7 0 -10,1.576
302,Geo2Point* 2x 7 0 0,1.529
303,Geo2Point* 2x 7 0 10,1.57
304,Geo2Point* 2x 7 10 -10,1.824
305,Geo2Point* 2x 7 10 0,1.664
306,Geo2Point* 2x 7 10 10,1.55
307,Geo2Point* 2x 8 -10 -10,1.567
308,Geo2Point* 2x 8 -10 0,1.539
309,Geo2Point* 2x 8 -10 10,1.592
310,Geo2Point* 2x 8 0 -10,1.847
311,Geo2Point* 2x 8 0 0,1.52
312,Geo2Point* 2x 8 0 10,2.327
313,Geo2Point* 2x 8 10 -10,1.631
314,Geo2Point* 2x 8 10 0,1.563
315,Geo2Point* 2x 8 10 10,1.896
316,Geo2Point* 2x 9 -10 -10,1.774
317,Geo2Point* 2x 9 -10 0,2.399
318,Geo2Point* 2x 9 -10 10,2.005
319,Geo2Point* 2x 9 0 -10,1.572
320,Geo2Point* 2x 9 0 0,1.539
321,Geo2Point* 2x 9 0 10,1.741
322,Geo2Point* 2x 9 10 -10,1.534
323,Geo2Point* 2x 9 10 0,1.565
324,Geo2Point* 2x 9 10 10,1.557
325,Geo2Point* 2x 10 -10 -10,1.901
326,Geo2Point* 2x 10 -10 0,1.924
327,Geo2Point* 2x 10 -10 10,1.55
328,Geo2Point* 2x 10 0 -10,1.504
329,Geo2Point* 2x 10 0 0,1.97
330,Geo2Point* 2x 10 0 10,1.507
331,Geo2Point* 2x 10 10 -10,1.591
332,Geo2Point* 2x 10 10 0,1.886
333,Geo2Point* 2x 10 10 10,1.539
334,Geo2Point* 2x 11 -10 -10,1.796
335,Geo2Point* 2x 11 -10 0,1.884
336,Geo2Point* 2x 11 -10 10,1.879
337,Geo2Point* 2x 11 0 -10,1.749
338,Geo2Point* 2x 11 0 0,1.513
339,Geo2Point* 2x 11 0 10,1.516
340,Geo2Point* 2x 11 10 -10,2.014
341,Geo2Point* 2x 11 10 0,1.823
342,Geo2Point* 2x 11 10 10,1.796
343,Geo2Point* 2x 12 -10 -10,1.798
344,Geo2Point* 2x 12 -10 0,2.017
345,Geo2Point* 2x 12 -10 10,2.007
346,Geo2Point* 2x 12 0 -10,1.532
347,Geo2Point* 2x 12 0 0,2.056
348,Geo2Point* 2x 12 0 10,1.52
349,Geo2Point* 2x 12 10 -10,1.982
350,Geo2Point* 2x 12 10 0,1.826
351,Geo2Point* 2x 12 10 10,1.794
352,Geo2Point* 2x 13 -10 -10,1.738
353,Geo2Point* 2x 13 -10 0,1.563
354,Geo2Point* 2x 13 -10 10,1.67
355,Geo2Point* 2x 13 0 -10,1.596
356,Geo2Point* 2x 13 0 0,1.536
357,Geo2Point* 2x 13 0 10,1.645
358,Geo2Point* 2x 13 10 -10,1.71
359,Geo2Point* 2x 13 10 0,1.563
360,Geo2Point* 2x 13 10 10,1.855
361,Geo2Point* 2x 14 -10 -10,1.542
362,Geo2Point* 2x 14 -10 0,1.549
363,Geo2Point* 2x 14 -10 10,1.818
364,Geo2Point* 2x 14 0 -10,1.936
365,Geo2Point* 2x 14 0 0,1.508
366,Geo2Point* 2x 14 0 10,1.491
367,Geo2Point* 2x 14 10 -10,1.567
368,Geo2Point* 2x 14 10 0,1.524
369,Geo2Point* 2x 14 10 10,1.557
370,Geo2Point* 2x 15 -10 -10,1.73
371,Geo2Point* 2x 15 -10 0,1.563
372,Geo2Point* 2x 15 -10 10,2.424
373,Geo2Point* 2x 15 0 -10,1.999
374,Geo2Point* 2x 15 0 0,1.738
375,Geo2Point* 2x 15 0 10,2.164
376,Geo2Point* 2x 15 10 -10,1.576
377,Geo2Point* 2x 15 10 0,1.533
378,Geo2Point* 2x 15 10 10,1.706
379,Geo2Point* 2x 16 -10 -10,1.795
380,Geo2Point* 2x 16 -10 0,1.797
381,Geo2Point* 2x 16 -10 10,1.584
382,Geo2Point* 2x 16 0 -10,1.705
383,Geo2Point* 2x 16 0 0,1.517
384,Geo2Point* 2x 16 0 10,1.516
385,Geo2Point* 2x 16 10 -10,1.558
386,Geo2Point* 2x 16 10 0,1.545
387,Geo2Point* 2x 16 10 10,1.592
388,Geo2Point* 2x 17 -10 -10,1.688
389,Geo2Point* 2x 17 -10 0,1.597
390,Geo2Point* 2x 17 -10 10,1.826
391,Geo2Point* 2x 17 0 -10,1.521
392,Geo2Point* 2x 17 0 0,1.503
393,Geo2Point* 2x 17 0 10,1.821
394,Geo2Point* 2x 17 10 -10,1.535
395,Geo2Point* 2x 17 10 0,1.594
396,Geo2Point* 2x 17 10 10,1.521
397,Geo2Point* 2x 18 -10 -10,1.762
398,Geo2Point* 2x 18 -10 0,1.917
399,Geo2Point* 2x 18 -10 10,1.52
400,Geo2Point* 2x 18 0 -10,1.502
401,Geo2Point* 2x 18 0 0,1.715
402,Geo2Point* 2x 18 0 10,1.908
403,Geo2Point* 2x 18 10 -10,1.794
404,Geo2Point* 2x 18 10 0,1.696
405,Geo2Point* 2x 18 10 10,2.006
406,Geo2Point* 5x 0 -10 -10,2.127
407,Geo2Point* 5x 0 -10 0,2.52
408,Geo2Point* 5x 0 -10 10,2.087
409,Geo2Point* 5x 0 0 -10,2.104
410,Geo2Point* 5x 0 0 0,2.211
411,Geo2Point* 5x 0 0 10,2.057
412,Geo2Point* 5x 0 10 -10,2.113
413,Geo2Point* 5x 0 10 0,2.105
414,Geo2Point* 5x 0 10 10,2.06
415,Geo2Point* 5x 1 -10 -10,4.186
416,Geo2Point* 5x 1 -10 0,3.831
417,Geo2Point* 5x 1 -10 10,3.427
418,Geo2Point* 5x 1 0 -10,3.442
419,Geo2Point* 5x 1 0 0,2.44
420,Geo2Point* 5x 1 0 10,3.589
421,Geo2Point* 5x 1 10 -10,2.344
422,Geo2Point* 5x 1 10 0,2.104
423,Geo2Point* 5x 1 10 10,2.279
424,Geo2Point* 5x 2 -10 -10,2.371
425,Geo2Point* 5x 2 -10 0,2.549
426,Geo2Point* 5x 2 -10 10,2.221
427,Geo2Point* 5x 2 0 -10,2.541
428,Geo2Point* 5x 2 0 0,1.993
429,Geo2Point* 5x 2 0 10,2.04
430,Geo2Point* 5x 2 10 -10,2.427
431,Geo2Point* 5x 2 10 0,2.49
432,Geo2Point* 5x 2 10 10,2.258
433,Geo2Point* 5x 3 -10 -10,2.292
434,Geo2Point* 5x 3 -10 0,2.104
435,Geo2Point* 5x 3 -10 10,2.119
436,Geo2Point* 5x 3 0 -10,2.474
437,Geo2Point* 5x 3 0 0,2.056
438,Geo2Point* 5x 3 0 10,2.442
439,Geo2Point* 5x 3 10 -10,2.098
440,Geo2Point* 5x 3 10 0,2.101
441,Geo2Point* 5x 3 10 10,2.168
442,Geo2Point* 5x 4 -10 -10,2.286
443,Geo2Point* 5x 4 -10 0,2.58
444,Geo2Point* 5x 4 -10 10,2.092
445,Geo2Point* 5x 4 0 -10,2.938
446,Geo2Point* 5x 4 0 0,2.283
447,Geo2Point* 5x 4 0 10,2.01
448,Geo2Point* 5x 4 10 -10,2.135
449,Geo2Point* 5x 4 10 0,2.152
450,Geo2Point* 5x 4 10 10,2.717
451,Geo2Point* 5x 5 -10 -10,2.066
452,Geo2Point* 5x 5 -10 0,2.439
453,Geo2Point* 5x 5 -10 10,2.141
454,Geo2Point* 5x 5 0 -10,2.042
455,Geo2Point* 5x 5 0 0,2.012
456,Geo2Point* 5x 5 0 10,2.258
457,Geo2Point* 5x 5 10 -10,2.257
458,Geo2Point* 5x 5 10 0,2.226
459,Geo2Point* 5x 5 10 10,2.562
460,Geo2Point* 5x 6 -10 -10,2.754
461,Geo2Point* 5x 6 -10 0,2.404
462,Geo2Point* 5x 6 -10 10,2.248
463,Geo2Point* 5x 6 0 -10,2.42
464,Geo2Point* 5x 6 0 0,2.072
465,Geo2Point* 5x 6 0 10,2.348
466,Geo2Point* 5x 6 10 -10,2.504
467,Geo2Point* 5x 6 10 0,2.746
468,Geo2Point* 5x 6 10 10,2.576
469,Geo2Point* 5x 7 -10 -10,2.291
470,Geo2Point* 5x 7 -10 0,2.206
471,Geo2Point* 5x 7 -10 10,2.472
472,Geo2Point* 5x 7 0 -10,2.375
473,Geo2Point* 5x 7 0 0,2.041
474,Geo2Point* 5x 7 0 10,2.02
475,Geo2Point* 5x 7 10 -10,2.206
476,Geo2Point* 5x 7 10 0,2.122
477,Geo2Point* 5x 7 10 10,2.452
478,Geo2Point* 5x 8 -10 -10,2.419
479,Geo2Point* 5x 8 -10 0,2.53
480,Geo2Point* 5x 8 -10 10,2.866
481,Geo2Point* 5x 8 0 -10,2.305
482,Geo2Point* 5x 8 0 0,2.092
483,Geo2Point* 5x 8 0 10,2.357
484,Geo2Point* 5x 8 10 -10,2.322
485,Geo2Point* 5x 8 10 0,2.545
486,Geo2Point* 5x 8 10 10,2.528
487,Geo2Point* 5x 9 -10 -10,2.542
488,Geo2Point* 5x 9 -10 0,2.737
489,Geo2Point* 5x 9 -10 10,2.595
490,Geo2Point* 5x 9 0 -10,2.54
491,Geo2Point* 5x 9 0 0,2.055
492,Geo2Point* 5x 9 0 10,2.085
493,Geo2Point* 5x 9 10 -10,2.602
494,Geo2Point* 5x 9 10 0,2.1
495,Geo2Point* 5x 9 10 10,2.126
496,Geo2Point* 5x 10 -10 -10,2.061
497,Geo2Point* 5x 10 -10 0,2.858
498,Geo2Point* 5x 10 -10 10,2.461
499,Geo2Point* 5x 10 0 -10,2.345
500,Geo2Point* 5x 10 0 0,2.391
501,Geo2Point* 5x 10 0 10,2.141
502,Geo2Point* 5x 10 10 -10,2.104
503,Geo2Point* 5x 10 10 0,3.106
504,Geo2Point* 5x 10 10 10,2.136
505,Geo2Point* 5x 11 -10 -10,2.393
506,Geo2Point* 5x 11 -10 0,2.29
507,Geo2Point* 5x 11 -10 10,2.5
508,Geo2Point* 5x 11 0 -10,2.382
509,Geo2Point* 5x 11 0 0,2.003
510,Geo2Point* 5x 11 0 10,2.035
511,Geo2Point* 5x 11 10 -10,2.122
512,Geo2Point* 5x 11 10 0,2.129
513,Geo2Point* 5x 11 10 10,2.432
514,Geo2Point* 5x 12 -10 -10,2.119
515,Geo2Point* 5x 12 -10 0,3.01
516,Geo2Point* 5x 12 -10 10,2.685
517,Geo2Point* 5x 12 0 -10,2.045
518,Geo2Point* 5x 12 0 0,2.408
519,Geo2Point* 5x 12 0 10,2.04
520,Geo2Point* 5x 12 10 -10,2.545
521,Geo2Point* 5x 12 10 0,2.331
522,Geo2Point* 5x 12 10 10,2.193
523,Geo2Point* 5x 13 -10 -10,2.155
524,Geo2Point* 5x 13 -10 0,2.708
525,Geo2Point* 5x 13 -10 10,2.127
526,Geo2Point* 5x 13 0 -10,2.37
527,Geo2Point* 5x 13 0 0,2.521
528,Geo2Point* 5x 13 0 10,2.012
529,Geo2Point* 5x 13 10 -10,2.14
530,Geo2Point* 5x 13 10 0,2.133
531,Geo2Point* 5x 13 10 10,2.101
532,Geo2Point* 5x 14 -10 -10,2.106
533,Geo2Point* 5x 14 -10 0,2.563
534,Geo2Point* 5x 14 -10 10,2.489
535,Geo2Point* 5x 14 0 -10,2.232
